이름,날짜,상대,결과,점수,타순,P,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
강진성,06-03,삼성,L,7:8,2,CF,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.250,0.250,0.500,10,1.06,-0.52,-0.052
강진성,06-06,롯데,L,5:10,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.217,0.260,0.283,0.543,4,0.75,-0.77,-0.018
강진성,06-23,한화,L,1:8,6,LF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.208,0.250,0.271,0.521,6,0.02,-0.18,0.000
강진성,06-26,두산,W,5:4,6,LF,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.245,0.281,0.302,0.583,5,0.96,0.01,-0.019
강진성,06-28,두산,L,0:9,1,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.241,0.274,0.293,0.567,5,0.01,-0.25,-0.001
강진성,06-30,@KT,L,0:1,7,LF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.246,0.277,0.295,0.572,4,1.45,-0.26,-0.037
강진성,07-18,@SK,W,4:3,7,LF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.238,0.269,0.286,0.554,6,0.50,-0.18,-0.012
강진성,07-21,넥센,L,3:6,3,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.239,0.268,0.284,0.551,4,0.50,-0.18,-0.013
강진성,07-26,@롯데,L,1:13,5,RF,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.235,0.274,0.279,0.553,9,0.06,-0.14,0.003
강진성,04-01,@롯데,L,2:3,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,3,1.41,-0.12,-0.036
강진성,04-05,삼성,L,1:4,7,LF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,12,1.19,-0.76,-0.061
강진성,04-08,@두산,L,10:11,9,PH,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.857,4,0.75,0.40,0.038
강진성,04-11,KT,L,4:12,7,LF,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.364,0.364,0.364,0.727,11,0.66,-0.50,-0.015
강진성,04-13,@SK,L,2:4,9,PH,0,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.294,0.294,0.353,0.647,7,0.76,0.18,-0.017
강진성,04-15,@SK,L,2:3,8,LF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.261,0.292,0.304,0.596,7,1.58,-0.84,-0.149
강진성,04-20,LG,L,4:9,2,LF,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.280,0.308,0.320,0.628,1,0.09,0.40,0.004
강진성,04-22,LG,L,4:5,7,LF,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.259,0.310,0.296,0.607,8,0.97,-0.35,-0.030
강진성,04-26,@삼성,W,5:2,2,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0.290,0.276,0.566,6,0.02,-0.25,-0.001
강진성,04-29,두산,L,1:7,8,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.226,0.273,0.258,0.531,2,0.09,-0.57,-0.003
강진성,05-13,@한화,L,0:4,7,LF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.212,0.257,0.242,0.500,9,0.49,-0.26,-0.013
강진성,05-18,@KT,W,6:1,2,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.270,0.235,0.506,3,0.10,-0.38,-0.002
강진성,05-20,@KT,L,3:18,4,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.270,0.235,0.506,0,0.00,0.00,0.000
강진성,06-02,삼성,L,4:6,2,CF,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.214,0.261,0.262,0.523,17,1.24,-1.24,-0.126
