,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t17,이용규,2021,8,0,1,0,0,1,0,0,1,0,18,0,89,4,5,0.5263157894736842,0.6111111111111112
t18,이용규,2021,1,0,0,0,1,2,1,0,2,1,15,1,69,4,5,0.25,0.06666666666666667
t1,심우준,2021,3,0,0,0,1,1,0,0,3,0,17,2,81,5,5,0.2631578947368421,0.17647058823529413
t2,심우준,2021,4,0,0,0,0,1,0,0,1,1,15,0,65,7,5,0.29411764705882354,0.26666666666666666
t3,심우준,2021,8,2,0,0,0,2,0,0,1,0,17,1,81,5,5,0.631578947368421,0.7058823529411765
t4,심우준,2021,0,0,0,0,0,1,0,0,2,2,8,0,37,33,5,0.09090909090909091,0.0
t5,심우준,2021,1,0,0,0,0,0,0,0,3,0,15,0,55,7,5,0.06666666666666667,0.06666666666666667
t6,심우준,2021,4,1,1,0,0,0,0,0,1,0,15,0,64,6,5,0.4,0.6
t7,심우준,2021,1,0,0,0,0,2,0,0,3,0,14,1,51,5,5,0.1875,0.07142857142857142
t8,심우준,2021,1,0,0,0,0,0,0,0,2,0,9,0,38,6,5,0.1111111111111111,0.1111111111111111
t9,심우준,2021,11,2,0,2,0,3,0,0,0,0,17,2,88,6,5,0.9,1.3529411764705883
t10,심우준,2021,4,3,0,0,0,1,0,0,2,0,18,0,76,6,5,0.42105263157894735,0.5555555555555556
t11,심우준,2021,3,1,0,0,1,1,0,0,3,1,18,1,87,6,5,0.2857142857142857,0.2777777777777778
t12,심우준,2021,6,0,0,0,0,0,0,0,2,0,15,2,54,7,5,0.4,0.4
t13,심우준,2021,6,2,0,1,0,0,0,0,4,0,18,1,76,4,5,0.5,0.7777777777777778
t14,심우준,2021,4,0,0,0,1,3,0,0,3,0,9,0,64,7,5,0.6153846153846154,0.4444444444444444
t15,심우준,2021,4,1,0,1,1,3,0,0,2,0,13,0,77,5,5,0.5882352941176471,0.7692307692307693
t16,심우준,2021,2,1,0,0,0,0,0,0,4,1,15,0,55,4,5,0.1875,0.26666666666666666
t17,심우준,2021,7,1,1,0,0,0,0,0,3,1,18,1,76,4,5,0.47368421052631576,0.6666666666666666
t18,심우준,2021,4,1,0,0,0,2,0,0,2,0,15,1,79,5,5,0.4117647058823529,0.4
t1,양석환,2021,9,1,0,1,1,1,0,0,5,0,18,1,85,5,5,0.65,0.8333333333333334
t2,양석환,2021,1,0,0,0,0,1,0,0,3,0,18,0,72,5,5,0.10526315789473684,0.05555555555555555
t3,양석환,2021,6,0,0,1,0,1,0,0,7,0,18,0,78,6,5,0.42105263157894735,0.5555555555555556
t5,양석환,2021,4,0,0,1,0,3,0,0,6,0,20,0,90,6,5,0.34782608695652173,0.4
t6,양석환,2021,6,2,0,1,0,2,0,0,1,0,18,0,73,4,5,0.55,0.7777777777777778
t7,양석환,2021,6,1,0,1,0,1,0,1,5,0,19,0,70,3,5,0.45,0.631578947368421
t8,양석환,2021,7,0,0,1,0,0,0,0,8,0,21,0,74,5,5,0.38095238095238093,0.5238095238095238
t9,양석환,2021,5,0,0,2,0,1,0,0,5,0,22,0,93,5,5,0.34782608695652173,0.5909090909090909
t10,양석환,2021,6,2,0,2,0,3,0,1,2,0,16,0,79,6,5,0.6842105263157895,1.125
t11,양석환,2021,5,0,0,3,0,2,0,0,6,0,18,0,84,6,5,0.5,0.9444444444444444
t12,양석환,2021,3,0,0,1,1,4,0,0,3,0,14,0,92,7,5,0.47368421052631576,0.5
t13,양석환,2021,2,2,0,0,0,4,0,1,3,0,14,0,80,4,5,0.4444444444444444,0.42857142857142855
t14,양석환,2021,5,1,0,1,0,2,0,0,8,0,21,0,86,7,5,0.391304347826087,0.5238095238095238
t15,양석환,2021,6,0,0,2,0,2,0,2,4,0,20,0,91,5,5,0.45454545454545453,0.7
t16,양석환,2021,5,1,0,0,0,1,0,0,5,0,21,0,96,4,5,0.3181818181818182,0.3333333333333333
t17,양석환,2021,7,2,0,0,0,0,0,2,6,0,20,1,98,4,5,0.45,0.55
t18,양석환,2021,9,2,0,1,0,1,0,0,7,0,20,0,83,5,5,0.6190476190476191,0.85
t1,전준우,2021,7,4,0,0,0,1,0,0,3,0,20,1,76,6,5,0.5714285714285714,0.75
t2,전준우,2021,2,0,0,0,0,1,0,0,4,0,16,0,65,6,5,0.17647058823529413,0.125
